1/1/16,7:00 AM,2:00 PM,Scheduling,,Appointment,,Room ASB 220,BioScheduling,7:00
1/1/16,12:00 PM,1:00 PM,,Feener/Terry,Appointment,,Room SB 306,BioScheduling,1:00
1/1/16,1:00 PM,3:00 PM,Babst lab meeting,Markus/Terry,Appointment,,Room ASB 504,BioScheduling,2:00
1/1/16,1:00 PM,5:00 PM,Teichert/Olivera lab meetings,Sean/Toto/Terry,Appointment,,Room ASB 304,BioScheduling,4:00
1/1/16,1:00 PM,2:30 PM,,Russ/Toto/Terry,Appointment,,Room ASB 304,BioScheduling,1:30
1/1/16,1:30 PM,2:30 PM,Teichert lab meeting,Russ/Toto/Terry,Appointment,,Room SB 221,BioScheduling,1:00
1/1/16,2:30 PM,5:00 PM,Olivera lab meeting,Sean/Toto/Terry,Appointment,,Room SB 221,BioScheduling,2:30
1/1/16,3:00 PM,5:00 PM,Clayton/Bush lab meeting,Dale/Terry,Appointment,,Room ASB 504,BioScheduling,2:00
1/4/16,7:00 AM,2:00 PM,Scheduling,,Appointment,,Room ASB 220,BioScheduling,7:00
1/4/16,11:30 AM,1:00 PM,Ehleringer PI Meeting,Laurie/Jim/Terry,Appointment,,Room ASB 504,BioScheduling,1:30
1/4/16,12:00 PM,1:00 PM,Ant reading group,Feener/Terry,Appointment,,Room SB 306,BioScheduling,1:00
1/4/16,2:00 PM,4:00 PM,Shapiro/Clark/Phadnis lab meeting,Michael/Terry,Appointment,,Room SB 221,BioScheduling,2:00
1/5/16,7:00 AM,2:00 PM,Scheduling,,Appointment,,Room ASB 220,BioScheduling,7:00
1/5/16,10:00 AM,11:00 AM,Managers Meeting,Ann/April,Appointment,,Room MO Conference Room,BioScheduling,1:00
1/5/16,11:00 AM,1:00 PM,,Kat Schramm/Terry (email 08/31/15).,Appointment,,Room ASB 304,BioScheduling,2:00
1/5/16,11:00 AM,1:00 PM,Dearing lab meeting,Kat Schramm/Terry (email 08/31/15),Appointment,,Room ASB 304,BioScheduling,2:00
1/5/16,11:30 AM,1:30 PM,Graduate student/speaker lunches,Laurie/Jim/Terry,Appointment,,Room ASB 504,BioScheduling,2:00
1/5/16,12:00 PM,1:30 PM,Drews lab meeting,Gary/Terry,Appointment,,Room SB 306,BioScheduling,1:30
1/5/16,1:00 PM,5:00 PM,Olivera grad/undergrad meeting,Toto/Terry,Appointment,,Room ASB 304,BioScheduling,4:00
1/5/16,1:30 PM,3:00 PM,Ehleringer lab meeting,Laurie/Jim/Terry,Appointment,,Room ASB 504,BioScheduling,1:30
1/5/16,2:00 PM,4:00 PM,,Denise/Theresa/Terry - amended by Jason,Appointment,,Room ASB 210,BioScheduling,2:00
1/5/16,2:00 PM,5:00 PM,,Ann/Jason,Meeting,,Room ASB 210,BioScheduling,3:00
1/5/16,2:00 PM,5:00 PM,Tentative Faculty Meeting,Ann/Jason,Meeting,,Room ASB 210,BioScheduling,3:00
1/5/16,4:00 PM,6:00 PM,Jorgensen Journal Club,Becky/Jason,Meeting,,Room ASB 504,BioScheduling,2:00
1/5/16,4:00 PM,5:00 PM,Tenatative Cell Biology Faculty Search Seminar,Ann/Jason,Meeting,,Room ASB 210,BioScheduling,1:00
1/6/16,7:00 AM,2:00 PM,Scheduling,,Appointment,,Room ASB 220,BioScheduling,7:00
1/6/16,9:00 AM,10:00 AM,Bowling lab meeting,Dave/Terry,Appointment,,Room ASB 504,BioScheduling,1:00
1/6/16,10:00 AM,11:30 AM,Facilities Team Meeting,Jose/Terry,Appointment,,Room MO Conference Room,BioScheduling,1:30
1/6/16,12:00 PM,2:00 PM,,Denise/Terry,Appointment,,Room ASB 504,BioScheduling,2:00
1/6/16,12:30 PM,3:00 PM,Maricq Lab Mtg.,Nancy/Terry,Appointment,,Room ASB 304,BioScheduling,2:30
1/6/16,1:30 PM,3:00 PM,Potts lab meeting,Wayne/Terry,Appointment,,Room SB 221,BioScheduling,1:30
1/6/16,2:00 PM,5:00 PM,,Denise/Terry/Terry/Jason,Appointment,,Room ASB 210,BioScheduling,3:00
1/6/16,2:00 PM,4:00 PM,,Ann/Jason,Meeting,,Room ASB 210,BioScheduling,2:00
1/6/16,2:00 PM,5:00 PM,,Ann/Jason,Meeting,,Room ASB 210,BioScheduling,3:00
1/6/16,3:00 PM,5:00 PM,Clark/Drews/Seiburth Lab Meeting,Malia/Leslie/Terry,Meeting,,Room SB 306,BioScheduling,2:00
1/6/16,3:00 PM,4:30 PM,Coley/Kursar lab meeting,Maria/Tom/Terry,Appointment,,Room ASB 504,BioScheduling,1:30
1/6/16,4:00 PM,5:00 PM,Tentative Cell BiologyFaculty Seminar Search,Ann/Jason,Meeting,,Room ASB 210,BioScheduling,1:00
1/7/16,7:00 AM,2:00 PM,Scheduling,,Appointment,,Room ASB 220,BioScheduling,7:00
1/7/16,10:30 AM,12:30 PM,Jorgensen lab meeting,Wayne/Becky/Terry,Appointment,,Room ASB 304,BioScheduling,2:00
1/7/16,1:00 PM,3:00 PM,Drews Lab Meeting,Gary/Jason,Meeting,,Room SB 306,BioScheduling,2:00
1/7/16,2:00 PM,3:00 PM,Seger Lab,Patrice/ April,Appointment,,Room SB 221,BioScheduling,1:00
1/7/16,2:00 PM,3:00 PM,Scott Iverson Dry Run,Paige/Jason,Appointment,,Room ASB 304,BioScheduling,1:00
1/7/16,3:30 PM,5:00 PM,Department Seminar,,Appointment,,Room ASB 210,BioScheduling,1:30
1/8/16,7:00 AM,2:00 PM,Scheduling,,Appointment,,Room ASB 220,BioScheduling,7:00
1/8/16,1:00 PM,3:00 PM,Babst lab meeting,Markus/Terry,Appointment,,Room ASB 504,BioScheduling,2:00
1/8/16,1:00 PM,5:00 PM,Teichert/Olivera lab meetings,Sean/Toto/Terry,Appointment,,Room ASB 304,BioScheduling,4:00
1/8/16,1:00 PM,2:30 PM,,Russ/Toto/Terry,Appointment,,Room ASB 304,BioScheduling,1:30
1/8/16,1:30 PM,2:30 PM,Teichert lab meeting,Russ/Toto/Terry,Appointment,,Room SB 221,BioScheduling,1:00
1/8/16,2:00 PM,4:00 PM,,Ann/Jason,Meeting,,Room ASB 210,BioScheduling,2:00
1/8/16,2:30 PM,5:00 PM,Olivera lab meeting,Sean/Toto/Terry,Appointment,,Room SB 221,BioScheduling,2:30
1/8/16,3:00 PM,5:00 PM,Clayton/Bush lab meeting,Dale/Terry,Appointment,,Room ASB 504,BioScheduling,2:00
1/11/16,,,Felisa Smith-UMNH Cluster Candidate,,Banner,,Room MO Conference Room,BioScheduling,
1/11/16,7:00 AM,2:00 PM,Scheduling,,Appointment,,Room ASB 220,BioScheduling,7:00
1/11/16,8:00 AM,9:00 AM,Life Sciences Meeting,Ann/Jason,Appointment,,Room SB 221,BioScheduling,1:00
1/11/16,9:40 AM,10:30 AM,BIOL 3210,Naina Phadnis,Appointment,,Room ASB 210,BioScheduling,0:50
1/11/16,11:30 AM,1:00 PM,Ehleringer PI Meeting,Laurie/Jim/Terry,Appointment,,Room ASB 504,BioScheduling,1:30
1/11/16,12:00 PM,1:30 PM,Lunch with Felisa Smith,,Appointment,,Room SB 221,BioScheduling,1:30
1/11/16,12:00 PM,5:00 PM,Faculty Search Seminar,Ann/Jason,Meeting,,Room ASB 210,BioScheduling,5:00
1/11/16,2:00 PM,4:00 PM,Clark/Phadnis/Shapiro lab meeting,Michael/Nitin/Terry,Appointment,,Room SB 221,BioScheduling,2:00
1/11/16,3:30 PM,5:30 PM,BIOL 7964-001,Dale Clayton/Shannon,Appointment,,Room ASB 304,BioScheduling,2:00
1/11/16,4:00 PM,5:30 PM,BIOL 7962-003 Seminal Papers,Richard Clark/Shannon,Appointment,,Room ASB 504,BioScheduling,1:30
1/12/16,7:00 AM,2:00 PM,Scheduling,,Appointment,,Room ASB 220,BioScheduling,7:00
1/12/16,9:10 AM,10:30 AM,BIOL 1330,Irene Terry,Appointment,,Room ASB 210,BioScheduling,1:20
1/12/16,10:45 AM,11:45 AM,BIOL 3410 Review,Ben Hardisty/Coley and Clayton,Appointment,,Room ASB 504,BioScheduling,1:00
1/12/16,10:45 AM,12:05 PM,BIOL 1010,Tanya Vickers,Appointment,,Room ASB 210,BioScheduling,1:20
1/12/16,11:45 AM,1:30 PM,Graduate student/speaker lunches,Laurie/Jim/Terry,Appointment,,Room ASB 504,BioScheduling,1:45
1/12/16,12:00 PM,1:30 PM,Drews lab meeting,,Appointment,,Room SB 306,BioScheduling,1:30
1/12/16,1:00 PM,6:00 PM,Teichert/Olivera lab  meeting,Toto/Terry,Appointment,,Room ASB 304,BioScheduling,5:00
1/12/16,1:30 PM,3:00 PM,Ehleringer lab meeting,Laurie/Jim/Terry,Appointment,,Room ASB 504,BioScheduling,1:30
1/12/16,2:00 PM,3:20 PM,BIOL 3960-001 Fresher Seminar,Franz Goller,Appointment,,Room SB 306,BioScheduling,1:20
1/12/16,2:00 PM,3:55 PM,Nadkarni class breakout,Jordan Herman/Terry,Appointment,,Room SB 221,BioScheduling,1:55
1/12/16,2:00 PM,3:20 PM,BIOL 2020-002,Dave Gard,Appointment,,Room ASB 220,BioScheduling,1:20
